rating,name,category
394,Church of The Most Precious Blood,SIGHTS & LANDMARKS
395,Church of the Annunciation,SIGHTS & LANDMARKS
396,Church of the Three Patrons,SIGHTS & LANDMARKS
397,Isolde's Tower,SIGHTS & LANDMARKS
398,Al-Mustafa Islamic Centre Ireland,SIGHTS & LANDMARKS
399,Church of Our Lady of Good Council,SIGHTS & LANDMARKS
400,St Philip and St James' Church,SIGHTS & LANDMARKS
401,"Art, Bites, Crafts Drumcondra Market",SHOPPING
402,Kill O’The Grange Parish Church,SIGHTS & LANDMARKS
403,Finglas Abbey,SIGHTS & LANDMARKS
404,Harolds Cross Park,NATURE & PARKS
405,Methodist Centenary Church,SIGHTS & LANDMARKS
406,Royal Canal Park,NATURE & PARKS
407,Sandymount Green,NATURE & PARKS
408,St Canice's Church of Ireland,SIGHTS & LANDMARKS
409,St Mochta's Church,SIGHTS & LANDMARKS
410,Our Lady Help of Christians Church,SIGHTS & LANDMARKS
411,South Hill Evangelical Church,SIGHTS & LANDMARKS
412,Dun Laoghaire-Rathdown library,TRAVELER RESOURCES
413,John Farrington Antiques,SHOPPING
414,National Archives of Ireland,MUSEUMS
415,St Brigid's Church of Ireland,SIGHTS & LANDMARKS
416,Cathal Brugha Visitor Centre,MUSEUMS
417,Cabra Library,TRAVELER RESOURCES
418,St. Jude's Church of Ireland Tower,SIGHTS & LANDMARKS
419,Cork Hill Gate,SIGHTS & LANDMARKS
420,Dublin - Milltown Park,NATURE & PARKS
421,Jeremiah O'Donovan Rossa,SIGHTS & LANDMARKS
422,Talbot Street Memorial,SIGHTS & LANDMARKS
423,Irish Sailors Merchant Ship Memorial,SIGHTS & LANDMARKS
424,RIAI Headquarters,SIGHTS & LANDMARKS
425,Constance Markievicz Bust,SIGHTS & LANDMARKS
426,The Linesman,SIGHTS & LANDMARKS
427,Christ the King Catholic Church,SIGHTS & LANDMARKS
428,Custom House Memorial,SIGHTS & LANDMARKS
429,Irish Whiskey Corner,MUSEUMS
430,Our Lady of Dolours Church,SIGHTS & LANDMARKS
431,RCB Library,MUSEUMS
432,Aga Szot Art Studio,MUSEUMS
433,Happenings- Fitzwilliam Square Open Air Cinema,SIGHTS & LANDMARKS
434,Revolution 1916,MUSEUMS
435,St. Finian's Lutheran Church,SIGHTS & LANDMARKS
436,Thomas M Kettle Memorial,SIGHTS & LANDMARKS
437,St. Thomas's Church,SIGHTS & LANDMARKS
438,George Russell Monument,SIGHTS & LANDMARKS
439,Ceol - The Irish Traditional Music Centre,MUSEUMS
440,James Joyce Bust,SIGHTS & LANDMARKS
441,Empire Casino,CASINOS & GAMBLING
442,The Church of Jesus Christ of Latter-day Saints,SIGHTS & LANDMARKS
443,Bedford Tower,SIGHTS & LANDMARKS
444,Irish Architectural Archive,MUSEUMS
445,Taylor Galleries,MUSEUMS
446,Heraldic Museum / Genealogical Office,MUSEUMS
447,Fr. Mathew Memorial Hall,SIGHTS & LANDMARKS
448,Museum of Childhood,MUSEUMS
449,William Butler Yeats Memorial,SIGHTS & LANDMARKS
450,The Steine,SIGHTS & LANDMARKS
451,Theatre Upstairs,CONCERTS & SHOWS
452,Butt Bridge,SIGHTS & LANDMARKS
453,St. George's Church,SIGHTS & LANDMARKS
454,Pearse Street Library,TRAVELER RESOURCES
455,The Old Liffey Ferry,TRANSPORTATION
456,Jokers Chair,SIGHTS & LANDMARKS
457,Carlton Casinò Club,CASINOS & GAMBLING
458,Johnstown Park,NATURE & PARKS
459,St Patricks Hall,SIGHTS & LANDMARKS
460,Church of the Annunciation,SIGHTS & LANDMARKS
461,Our Lady of the Rosary Church,SIGHTS & LANDMARKS
462,SFX City Theatre,CONCERTS & SHOWS
463,Stillorgan Village Centre,SHOPPING
464,Fitzpatrick's Casino,CASINOS & GAMBLING
465,Trinity Chapel,SIGHTS & LANDMARKS
466,Church of Our Lady of the Holy Rosary of Fatima,SIGHTS & LANDMARKS
467,The Library Project,TRAVELER RESOURCES
468,The River Poddle,SIGHTS & LANDMARKS
469,Nelsons Head,SIGHTS & LANDMARKS
470,Fernhill Park,NATURE & PARKS
471,The Three Graces,SIGHTS & LANDMARKS
472,Rubicon Gallery,MUSEUMS
473,Phibsboro Library,SIGHTS & LANDMARKS
474,Gormleys Fine Art,MUSEUMS
475,James Clarence Mangan Bust,SIGHTS & LANDMARKS
476,Aldborough House,SIGHTS & LANDMARKS
477,St.Laurence O'Toole Catholic Church​​​,SIGHTS & LANDMARKS
478,Wood Quay Amphitheatre,SIGHTS & LANDMARKS
479,Ranelagh Gardens,NATURE & PARKS
480,William Conyngham Plunket,SIGHTS & LANDMARKS
481,Saint John's Church & Prebytery,SIGHTS & LANDMARKS
482,Military Archives,SIGHTS & LANDMARKS
483,Brian Boru's Well,SIGHTS & LANDMARKS
484,Belgrave Square,NATURE & PARKS
485,The Whichcraft Gallery,MUSEUMS
486,Gulliver and the Lilliputians,SIGHTS & LANDMARKS
487,McKee Memorial,SIGHTS & LANDMARKS
488,Adelaide Road Presbyterian Church,SIGHTS & LANDMARKS
489,The Labour History Museum,MUSEUMS
490,Saint Augustine & Saint John's Church,SIGHTS & LANDMARKS
491,Graphic Studio Gallery,MUSEUMS
492,Rory O'More Bridge,SIGHTS & LANDMARKS
493,The Berkeley Library,TRAVELER RESOURCES
494,Luke Kelly Head Statue,SIGHTS & LANDMARKS
495,Ahlul Bayt Islamic Centre,SIGHTS & LANDMARKS
496,P&O Ferries Terminal 3,TRANSPORTATION
497,Robert Emmet Bridge,SIGHTS & LANDMARKS
498,Bedford Hall Suite,SIGHTS & LANDMARKS
499,O’Donovan Rossa Bridge,SIGHTS & LANDMARKS
500,Gaswork,SIGHTS & LANDMARKS
501,Catholic Central Library,TRAVELER RESOURCES
502,War Memorial,SIGHTS & LANDMARKS
503,Five Lamps Brewery,FOOD & DRINK
504,Martin Fennelly Antiques,SHOPPING
505,St. Colmcille's Church,SIGHTS & LANDMARKS
506,Macau Casino Club Dublin,CASINOS & GAMBLING
507,Dublin City Council Fruit Market,SIGHTS & LANDMARKS
508,Apollo Gallery,MUSEUMS
509,Met Eireann Headquarters,SIGHTS & LANDMARKS
510,The State Appartment,MUSEUMS
511,Diving bell,SIGHTS & LANDMARKS
512,Liam Mellows Bridge,SIGHTS & LANDMARKS
513,The Good Bits,CONCERTS & SHOWS
514,Lord Ardilaun's Statue,SIGHTS & LANDMARKS
515,Chancery Lane Theatre,CONCERTS & SHOWS
516,Civic Offices Atrium,SIGHTS & LANDMARKS
517,Alliance Francaise Dublin,MUSEUMS
518,Sean O'Casey Community Centre Theatre,CONCERTS & SHOWS
519,Hallward Gallery,MUSEUMS
520,Bust of Veronica Guerin,SIGHTS & LANDMARKS
521,Monument John Field,SIGHTS & LANDMARKS
522,Johnston Antiques,SHOPPING
523,SO Fine Art Editions,MUSEUMS
524,Origin Gallery,MUSEUMS
525,Irish Red Cross Head Office - Powerscourt Gallery,SIGHTS & LANDMARKS
526,Armenian Genocide Memorial,SIGHTS & LANDMARKS
527,O'Sullivan Antiques,SHOPPING
528,RDS Library,TRAVELER RESOURCES
529,La Catedral Studios,SIGHTS & LANDMARKS
530,Islamic Cultural Centre of Ireland,SIGHTS & LANDMARKS
531,Designer Mart Temple Bar,SHOPPING
532,Tribute Head II,SIGHTS & LANDMARKS
533,Shona Sculpture Gallery,MUSEUMS
534,Centre for Creative Practices,MUSEUMS
535,Father Matthew Bridge,SIGHTS & LANDMARKS
536,Municipal Museum,MUSEUMS
537,Realt Na Mara,SIGHTS & LANDMARKS
538,Na Fianna Eireann Memorial,SIGHTS & LANDMARKS
539,Dublin City Archive,MUSEUMS
540,Kavanagh Gallery,MUSEUMS
541,Jack O'Neills,FOOD & DRINK
542,Guinness Open Gate Brewery,FOOD & DRINK
543,Carrickgollogan Forest,NATURE & PARKS
544,Evans Art Supplies,MUSEUMS
